Title,Info,Company,Company1
Al Khouaresmi,Rue Larbi Ferdjani.Cité Emir Abdelkader....,032 11 42 00 / 0555 03 66 44,info@aci-dz.com
CNTC / Centre National des Technologies...,"Oued Tatareg.Route du marché.Bp 65M,3500...",,info@cntcalgerie.com
Cabinet Ammiche Amer,"Coopérative El Baraka, villa n°30.Rue Ch...",021 40 28 63 / 0661 52 90 19,ammicheamer@gmail.com
VERITEX,"51, Bois des Cars 1.Bp 130.Dely Ibrahim,...",023 28 51 08 / 0770 94 09 51,omarmederreg@gmail.com
QMC ALGERIE / Qualité Management Conseil...,Cité des 40 logements Eniem.Nouvelle vil...,026 43 46 09 / 0661 57 11 96,h.tazibt@yahoo.fr
ISC / Institut des Sciences Commerciales,"1, lotissement Bouaziz.Bp 229.Chikhi,Tiz...",026 20 41 10 / 0560 90 14 68 / 0661 66 09 61,contact@isc-dz.com
PROGOS,Passage Omar Chérif.Boulevard Mohammed 5...,021 63 09 11 / 021 63 09 12 / 021 63 09 15,progos@progos.com.dz
Chambre de l'Artisanat et des Métiers de...,Maison de l'Artisanat .Bouhraoua. Bp 129...,029 25 93 40 / 029 25 93 41 / 029 25 93 42,camghardaia@yahoo.fr
Chambre de l'Artisanat et des Métiers de...,"Centre de l'artisanat de Tebessa,Tebessa...",037 55 07 60,camtebessa@yahoo.fr
Chambre de l'Artisanat et des Métiers de...,"El Mechouar.Bp 574,Tlemcen,Algérie",043 21 23 95 / 0770 65 00 62 / 0771 51 76 89,artisanattlemcen@yahoo.com
Chambre d'Agriculture de la Wilaya d'El...,"Caw de la Wilaya d'El Tarf,El Tarf,Algér...",038 30 01 82 / 038 30 04 15,caw36@hotmail.fr
Ambassade du Royaume d'Arabie Saoudite,"5, chemin Doudou Mokhtar.Ben Aknoun",,dzemb@mofa.gov.sa
Ambassade de la République d'Argentine,5 chemin Makley Ben aknoun,,secom_earge@cancilleria.gov.ar
Ambassade du Burkina Faso,".931-E02, Lot Ras El Forn, DELY IBRAHIM",,abfalger@yahoo.fr
