Title,Info,Company,Company1
AC Negoce,"Lot 140.Pins Maritimes. Mohammadia,Alger...",021 21 97 87 / 0550 98 02 25,
INATEL / Industrie Algérienne de la Télé...,"Zone industrielle. Route de Chetouane, B...",043 27 10 70 / 043 27 32 13 / 043 27 46 41,directiongeneral@inatel.dz
HTR Services Dz,"01, rue Yahia Abou Zakaria .Bains Romain...",0554 86 62 05 / 0656 10 34 16,sales@htr-dz.com
I Hospitality,"Cité 08 Mai 45, bt 08, n°02. Bab Ezzouar",0550 98 37 50,contact@intelliway.fr
Mats Algerie,"Groupe de propriété 308, parcelle 07.Bab...",0635 15 65 69 / 0770 92 85 67,mehdi.broche@me-groupe.com
Eurequat Algérie,Villa n° 183.Bois Des Cars 3.Dely Ibrahi...,0561 63 96 01,commercial@eurequat-algerie.com
ENGTP / Entreprise Nationale de Grands T...,"Zone industrielle de Réghaia.Bp 09,",,info@engtp.com
ALEPCO / Société Algéro Lybiénne d'Explo...,"5, route des Zouaouas.Chéraga,Alger,Algé...",,
PETROSER,"Zone industrielle Khessibia, Route de Bo...",045 93 59 29 / 045 93 29 31 / 045 93 59 45 / 0560 42 09 09 / 0555 61 64 49 / 0555 61 97 19 / 0560 97,contact@petroser.dz
NAFTAL / Société nationale de Commercial...,Route des Dunes.Chéraga.Bp 73,021 38 12 18,contact@naftal.dz
AMIRGAZ,"Cité Ben Amour .Ouled Yaich,Blida,Algéri...",0661 61 74 83 / 0794 42 32 43,amirgaz@yahoo.fr
SONATRACH / Laghouat,"Hassi R'mel, 03004,Laghouat,Algérie",029 18 90 57 / 029 18 95 05 / 029 18 93 08 / 029 18 91 28,
PETROGEL,"N°18 Lots Ben flis, Route de Biskra,Batn...",033 25 46 65 / 023 54 24 75 / 023 54 24 71 / 0561 82 98 21,contact@petrogel.dz
KDCM Equipements,"Bouzeguene centre.Bp 84,Tizi Ouzou,Algér...",026 14 65 22 / 0660 57 18 17,mettouchi@suroilkdcm.com
Siad Automobiles,"Boulevard Colonel Ahmed Zaidat .Azazga,T...",0661 51 35 62 / 0555 96 40 22,siad@groupesiad.com / siamar.benelhadj@groupesiad.com
IGBS / Industrie Générale Bitumes Sétifi...,"Zone industrielle.Bp 67.Mezloug,Setif,Al...",036 82 42 35 à 37,bitume@groupekplast.com
Rebex Lubrifiants,"Zone industrielle, Ouled Moussa,Boumerde...",,info@rebexoil.com
GL / Générale Lubrifiants,"RN 12. Mellala. Commune d'Oud Ghir,Bejai...",034 12 73 80 / 0770 54 17 95,glubrifiants@generalelubrifiants.com
Bitume Oxyde de l'Est,"03, rue Klibet Mohamed,Annaba,Algérie,23...",038 87 32 27 / 0661 69 95 86,sarlbitume@yahoo.fr
ACM / Algerie Concept Mécanique,Villa n°1.Coopérative Emir Abdelkader.Bi...,041 41 33 31 / 0550 48 24 49,sarlacm@gmail.com
LYNX PARTS,"Rn n°05.El Achir,Bordj Bou Arreridj,Algé...",035 80 71 77 / 0661 57 88 39 / 0550 44 49 39,commercial@lynxparts.com
Perfect Pr Lub,"1, RUE MOHAMED KADRI LES SOURCES, Bir Mo...",0560 98 67 99,ilhemarab@gmail.com
SIPLA,Rue Sidi Okba.Lot n°1.Belle Vue.El Harra...,0550 54 54 76,katib.oubraham@yahoo.fr
Total Lubrifiants Algérie,"Boulevard 11 Décembre 1960, lot 65.El Bi...",021 92 03 33 / 021 92 03 34 / 0555 77 94 80 / 0770 17 89 76,redouane.karar@total-lubrifiants.com.dz
BITUMELK,"Zone industrielle El Kerma,Oran,Algérie",041 51 02 31 / 0555 96 32 53 / 0550 47 25 67 / 0661 57 13 03,eurl-bitumelk@hotmail.fr
SADEM,Avenue des Chouhadas. sidi Chahmi.Bp 2...,041 27 90 59 / 0790 55 23 00,sademcontact@gmail.com
OLYMPIA,"Zone industrielle Sidi Moussa,route de D...",0551 69 72 88,olympia.exis@gmail.com
Suroil Equipements,Lotissement Coline Al Zina.Lot n°3.Bab E...,0660 57 11 42 / 0660 57 18 06,commercial_suroil@suroilkdcm.com
Mettouchi Equipements,"Cité djilali 01, local D.Staouali,Alger,...",023 39 35 85 / 0660 57 18 08 / 0661 55 27 73,em.equipements@yahoo.fr
KDCM / Succursale Oran,"56, avenue Bouguerri Khelifa(ex avenue d...",041 53 72 55 / 06 60 57 18 04 / 06 60 57 18 05,suroil_oran@suroilkdcm.com
Al Mokadem Distribution,"Lot El Karma, n°10, route de Ain Benian....",023 36 17 28 / 0561 73 13 86,contact@al-mokadem.com
EOAT PRHB / Ouali Abderrahmane,"Cité Nouvelle Urbaine, n°1.local 24,M'si...",035 44 75 57 / 035 44 76 00 / 0550 50 57 97,ouali7720@yahoo.fr
PETROSAM,"Lotissement Ezzouhour Bp 206,Batna,Algér...",033 22 26 40 / 0661 34 09 36 / 0555 05 70 02,petrosam_lubrifiants@yahoo.fr
EBGCROA / Entreprise Belhadj des Grandes...,"Cité Mefti. Ouled Moussa,Boumerdes,Algér...",0560 90 09 24 / 0560 90 09 25,ebgcroa.belhadi@hotmail.fr
RSA / Roulement Services Algerie,"Cité du 05 Juillet,48 Logts EPLF,Bejaia,...",034 11 14 59 / 034 11 14 60 / 0770 60 45 90,rsa_ka@yahoo.fr
Aldi Oil Lubrifiant,"Route de Kherrouba,section 08, ilot 286,...",024 94 30 80 / 024 94 30 81 / 024 70 47 29 / 0550 04 77 71 / 0770 35 51 53,contact@aldi-oil.com
Lubrifiants Meslem,"Zone Industrielle, local n°3.Coopérative...",023 92 01 68 / 0550 96 50 02,lubrifiantsreghaia@gmail.com
ALGELUBE,"Villa n°15, lot C. Baba Hassen,Alger,Alg...",,algelube@gmail.com
FWO / Futur World's Oil,"Zone Industrielle.Ouled Moussa,Boumerdes...",0771 92 91,contact@rebexoil.com / info@spafwo.dz
