Title,Info,Company,Company1
SEMEST / Socièté des Emballages de L'Est,"13 Chatt sud, lots n°49 et 50.ZAE Ain Ou...",0472 13 55 62 / 0550 33 62 22,ssemest@yahoo.fr
SIFCO / Societé Industrielle de Fabricat...,21 Zone d'activité commercial Boumaiza....,0550 01 01 66 / 0550 01 01 67,contact@sifcocarton.dz / direction@sifcocarton.dz
Général Emballage,"Zone d'Activité Taharacht, Akbou.Bp 63 E...",0661 11 04 37,contact@generalemballage.com / b.alger@generalemballage.com
IECO Emballage / Industrie des Emballage...,"Zone industrielle.Site 2.Ouled Yaich,Bli...",025 26 90 50 / 025 26 90 55 / 025 26 92 94 / 025 26 92 95,contact@ieco-dz.com
Maghreb Emballage,"Section 02, lot 59.El Kerma.31007",0550 55 55 33,contact@maghrebemballage.com
SAME,"06, rue Bois des Cars.Dely Ibrahim,Alger...",023 30 82 22 / 0661 62 65 80,sameboukhari@gmail.com
Hippone Emballage,Zone industrielle Meboudja.Sidi Amar,0560 98 90 93 / 0661 32 11 59,hippone.emballage@gmail.com
ABE Pack,"Cité Dkakna, local n°09.Douera",0560 65 34 76 / 0560 65 08 67,commercialabepack@gmail.com
CM / Cartonnerie Moderne,Zone industrielle.Ben Boulaid,0550 49 76 17 / 0554 50 55 75,cartonnerie-moderne@gmail.com
SICPO / Société d'Impression Cartonnage...,Avenue de l'Armée de Libération National...,,
SACAR / Société et Cartonnerie de Oued S...,Zone Industrielle de Oued Smar. El Alia....,023 93 56 20 / 023 93 56 21 / 0661 43 48 53,sacar.commercial@yahoo.fr
GIPEC / Groupe Industriel du Papier et d...,"Route de la Gare. Baba Ali,16305",0770 68 11 11 / 0661 53 48 91,marketing_gipec@yahoo.fr
El Walid Emballages,"Zone industrielle. Kouinine. Bp 08, 3901...",,contact@elwalid.com
Galion Algérie,"Section 06.Ilot de propriété, n°284.Hamm...",0982 40 02 70 / 0982 50 54 57 / 0982 50 54 58 / 0555 02 29 39 / 0555 02 29 36 / 0555 02 29 35 / 0770 99 19 82 / 0770 99 19 83 / 0770 99 19 84,contact@galionalgerie.com / info@galion.com
ITC / Inter Trade Contact,"30, rue Benyoucef Khettab.El Harrach,Alg...",023 74 95 11 / 0550 88 75 94,itc_sarl@yahoo.fr
Color Emballages,"Zone d'activité.Zéralda,Alger,Algérie",023 20 81 64 / 0661 51 36 53,color_emballage@yahoo.fr
EMBAG / Société des Emballages et Arts G...,"BP N°60, Zone Industrielle Route de M'si...",035 87 31 36 / 035 87 31 37 / 035 87 31 38,embagbba@yahoo.fr
Aures Emballages,Zone Industrielle. RN n°12 .Draâ Ben Khe...,,aures_emballages@yahoo.fr
Tonic Industrie,"Zone industrielle, route de Koléa.Bousma...",0660 37 89 66 / 0660 40 79 08,info@tonic-industrie.com
Cartonnerie El Fares,"Cité Fouais,Boumerdes,Algérie",024 94 62 15 / 0550 90 34 60 / 0550 90 34 54 / 0550 90 34 31 / 0550 90 34 52,contact@cartonnerie-elfares.com
Messadek Nessim Sophien Viscobal,"Sidi Embarek,Bordj Bou Arreridj,Algérie",035 85 53 57,sophien115@yahoo.fr
VISCOBAL,"Sidi Embarek,Bordj Bou Arreridj,Algérie",035 85 53 57,commercial@viscobal.com
MTAP / Manufacture Transformation Articl...,Cité Recazin.Lot n°484. Baraki,0661 50 76 13 / 0770 65 48 36 / 0550 02 78 79,algerie-mtap@hotmail.com
1PRIM,"Chemin Romain, Birkhadem 16029,Alger,Alg...",0550 43 71 04 / 0661 52 22 86,1primeurl@gmail.com
Moussaoui Djelloul Emballage,"Boulevard Saad Makhlouf. Tolga,Biskra,Al...",033 59 41 68 / 0550 37 03 44,djelloulmoussaoui@yahoo.fr
SAFEM / Société Algerienne de Fabricatio...,"Zone d'activité El Alia. Bab Ezzouar,Alg...",023 83 96 88 / 023 83 96 89 / 0549 83 55 37,sarlsafem08@yahoo.fr
HP / Hellio Plast,"Zone industrielle Hammam Bou Hadjar,Ain...",043 71 59 74 / 0661 20 25 84,
CONFIPAP,"Avenue du 1er juillet. Birkhadem,Alger,A...",021 40 59 20 / 0555 04 06 30,confipap_dz@hotmail.fr
Fromagerie Joyeuse Vache,"36, boulevard Farès El Houari, hai El Ba...",041 25 56 83 / 0555 08 02 04,amardjemai@hotmail.com
EAPI / Entreprise Algérienne de Papier &...,"Zone Industrielle Pont Bouchet, n°40, lo...",0555 03 67 52 / 0555 03 67 53 / 0555 03 67 61 / 0555 03 67 62 / 0555 03 67 60,latifaberrezak.a@gmail.com
IA / Imprimerie Alileche,"355 Lotissement Bouchaoui 3. Chéraga,Alg...",023 22 81 73 / 0550 44 87 00,
Cartonneries El Amine,"Rue Benaddou Houti ,13000",0770 97 16 65,contact@cart-elamine.com
Global Emballage,"31, rue Saidani Mohamed zaouia. Beni Tam...",0555 18 39 67,
Imprimerie Tamazgha Benmahiddine et Cie,"Dar Djebel,Bejaia,Algérie",034 81 75 63 / 0770 76 24 51,imprimerie_tamazgha@yahoo.fr
Bendjebbour Djamel,"25, Beni Khaled Nord.Beni Saf,Ain Temouc...",0771 98 48 58 / 0552 99 84 89,benjjamel@yahoo.com
Algérie Emballages,"Zone d'Activité, Bp 19 C.Zéralda, 16302",0770 90 30 70 / 0770 89 24 03 / 0770 89 23 17,algerieemballage@yahoo.fr
L'Algerienne Des Tubes En Carton,"38 RUE SONACOME HRAOUA Ain Taya,Alger,Al...",0560 97 58 82 / 0560 97 58 90 / 0550 48 37 73,algerienne.sarl@outlook.fr
Elasfour Ets,"8, zone industrielle Boumerzoug,Constant...",0550 51 05 95 / 0551 19 72 23,al_asfour@hotmail.fr
ECOPACK,"31, zone Industrielle de Chetouane. Chet...",,contact@ecopack-sarl.com
ETS RADJI,"51, Avenue Khaiti Ahmed. Staoueli,Alger,...",023 39 11 24 / 0661 60 45 58,
Salpac,"18, Rue la Rassauta. Bordj El Kiffan",0556 22 83 73 / 0560 20 45 65,salpac_emb@yahoo.fr
Metropole Print,"Zone d'activité Staoueli.Grp 367, classe...",023 20 91 79 / 0551 28 89 05,contact@metropoleprint.com
PAPCAS,"Zone Industrielle 02. Commune O/Khaled,S...",048 32 21 25 / 0661 53 37 56,
OUTINET,"Lot N°33, zone d'activité ilmadjen. Freh...",026 27 02 17,outinetemballage@gmail.com
Allal Emballage,"Cité Waziten.El Oued,El Oued,Algérie",032 11 45 08 / 0555 05 30 60 / 0555 05 30 62 / 0555 05 30 58,contact@alla-emballage.com
Boutrab Adel / AB TUBES,"Cité Zaouia Bouharoun,Tipaza,Algérie",0552 36 74 99,abtubes@gmail.com
TALBI,"82, route Sidi Bel Abbes, local n°03. O...",0770 89 59 56,tlemcenh@gmail.com
CAAB / Comptoir Agro Alimentaire Blida,"17, rue kaioussa rabah. Beni Tamou,Blida...",025 27 76 45 / 0550 41 35 41 / 0661 14 41 44,contact@caab-dz.com
Aidel Emballage,"Lot n°71, zone Industrielle CM Ras El O,...",0669 96 29 25,royalemballage34@gmail.com
UNIFAB,"Centre des Affaires d'Alger, Lot 43 № 08...",0982 41 28 28 / 0550 84 91 42,contact@unifab.dz
Embal Pro,"Route 26, Ouzzellaguen Sud. Bp 67C. Ouzz...",0561 78 49 69 / 0554 57 43 37 / 0770 74 13 65,ets.embalpro@gmail.com
