Title,Info,Company,Company1
SOALKA / Société des Kaolins d'Algérie,"45, route de La Soummam,Jijel,Algérie,18...",034 47 79 56 / 0770 19 80 56,soalkaolin@hotmail.com
SALIMAC / Société d'Importation de Matér...,"Zone industrielle, desserte n°05,Tlemcen...",043 27 69 72 / 043 27 50 23 / 0661 22 01 99,salimac@mail.com
HYGIENOVA,"Zone d'activité de Ben M'hidi, lot 67. B...",038 34 80 95 / 038 34 80 96 / 0560 00 92 71 / 0657 78 98 76,hygienova@yahoo.fr
Helison Production,Zone industrielle.Larbi Ben M´Hidi.Bp 11...,038 94 82 00,contact@helison-production.com
ALPHYT,Route de l'Aéroport . Dar El Beïda.Bp 16...,0660 82 41 84 / 0774 24 63 34,info@alphyt.com
ALPHYT / Unité de Baraki,"Chemin de Wilaya n°14.Baraki,Alger,Algér...",023 91 74 54,baraki@alphyt.com
Beauty Miss,"10, coopérative Sara.Ain Naadja.Bp 32.,A...",023 43 00 67 / 0661 56 31 60,beauty.miss03@yahoo.fr
SAPEDER,Lot 35.Zone d'Activité 5.Nedjma.Sidi Cha...,0662 73 30 76 / 0660 77 43 80,contact@sapeder.com
REXTON,"HAI MERIDJA N 04BIS SAOULA,Alger,Algérie",,rextonalger@libero.it
Tekron Trade,"3, cité Chateau Rouge Les Eucalyptus,Alg...",0770 48 10 38,mehmet.salihi@tekrongroup.com
El Kassih Produits DE Blanchiment,"Rn Khenchela,Batna,Algérie",0660 40 11 40 / 0660 40 26 32,pdg@bnpro-dz.com
ADH,"Siege Social: Ancienne Galerie, route de...",021 31 09 73 / 0555 08 99 57,sarl.adh@hotmail.com
SICPO / Société d'Impression Cartonnage...,Avenue de l'Armée de Libération National...,,
CV / Clas'vit,"Zone industrielle de Oued Smar.Bp n°59,A...",023 93 57 29 / 0550 90 02 53 / 0560 01 84 84,clasvit@hotmail.com
El Walid Emballages,"Zone industrielle. Kouinine. Bp 08, 3901...",,contact@elwalid.com
BELCOL / Fabrique Algérienne de Colle,Zone industrielle de Oued Smar.Route de...,023 93 02 42 / 0661 51 66 58,belcol@entreprises-dz.com
TUBEX,"Bp n°10.Bir El Djir,Oran,Algérie,31130",041 27 43 46 / 041 27 45 68 / 0770 26 05 02 / 0770 26 05 03,contact@tubexalgerie.com
Parfums El Wouroud,"Zone Industrielle de Kouinine.Bp 08,Vill...",032 23 89 09 / 0799 02 82 23 / 023 30 43 27,contact@wouroud.com
Bazicos Algérie,Cité Nouvelle Ville n°37.Lot 2.Dar El Be...,023 80 05 85 / 023 80 05 86,appro@bazicos-dz.com
BIOLAB / Laboratoire Biologique,"11, Rue des Frères Nedir.Baba Hassen,Alg...",023 35 00 56 / 0555 62 50 93 / 0555 62 50 94,mouhoubin@yahoo.fr
SAEL / Société d'Application d’élastomèr...,"Zone industrielle.Oued Smar.21, route de...",,contact@sael-dz.com
SINARLA / Société Industrielle des Artic...,"Zone industrielle Guerrara.Bp 42,Ghardai...",029 22 82 77 / 0772 60 66 43,contact@sinarla.com
LAD PHARMA / Laboratoire Algérien de Dév...,"40, lotissement petite provence.Hydra,Al...",0770 70 67 60,ladpharma@hotmail.com / contactlad@ladpharma.com
AIRELEC,"Zone industrielle.Rouiba,Alger,Algérie",023 87 36 82 / 0560 57 52 74,sarlairelec@gmail.com
Au Bon Caoutchouc,"05, rue Mohammed Hamina.Bougara,Blida,Al...",025 25 16 23 / 0770 53 83 15,contact@abcalgerie.com
AFRICAVER / Société Africaine du Verre,Zone industrielle de Ouled Salah.Bp 06.E...,034 54 97 96 / 034 54 97 97 / 0555 70 80 24 / 0555 70 80 23,afv@africaver.com.dz
Sekouti Frères,"05, rue des frères Belabes.El Harrach,Al...",023 97 66 12 / 023 97 66 10 / 023 97 66 15,contact@nassah-dz.com
Laboratoires Venus / SAPECO / Société Al...,"80, rue du 17 septembre 1956.Ouled Yaïch...",025 43 85 85 / 025 43 18 95 / 025 43 80 80 / 025 43 18 72,labovenus@yahoo.fr
Agro Film Packaging,"Zone d'activité, lot n°07,Setif,Algérie,...",0550 50 34 67 / 0561 89 79 94,contact@agro-film.com / commercial@agro-film.com
PLASTIMAK,Avenue Kritli Mokhtar.Zone industrielle....,025 32 50 19 / 0770 95 27 97,eurl.plastimak@gmail.com
PLASTUB,Zone industielle.Gare Taam.Bounoura. Bp...,029 25 48 09 / 029 25 48 10 / 0661 64 59 05,plastubcommercial@gmail.com
LPA Production/ Laboratoire Pharmaceutiq...,"Zone industrielle Est.Boudouaou,Boumerde...",024 74 26 55 / 024 74 26 35,lpa@wissal.dz
ENOF / Entreprise Nationale Des Produits...,"31, rue Mohammed Hattab.Hacène Baddie.El...",0658 29 03 27 / 0552 95 61 49 / 0659 60 07 29,sec_dg@enof.dz / enof.dcm@gmail.com / enof.communication@gmail.com
Toumi Abdelkader,"Ex Souk El Fellah. Kechida,Batna,Algérie...",033 22 42 35 / 0555 03 43 84,ets_toumi05@yahoo.fr
MINIROS,"09,Hai Ben Chaoua .Kheraicia,Alger,Algér...",0550 59 15 05 / 0661 40 22 64 / 0660 40 66 20 / 0770 49,client@miniros.com
SOPROPHAL / Société Production Pharmaceu...,Groupe propriétaire 421 section 09 Baba...,0799 26 21 53,soprophal@hotmail.com
Verrerie de l'Est,"Zone industrielle.Bp 467,Souk Ahras,Algé...",037 75 16 16 / 037 75 17 17 / 0556 33 71 16,info@verest.dz
TECHNISOL / Technique d'Isolation,"Zone d'activité.Lotissement n°02, route...",026 74 14 65 / 026 74 14 71 / 026 74 14 69 / 0555 00 17 68 / 0555 00 17 79 / 0555 00 17 69,technisol1998@gmail.com
Miroiterie Adver,"67, rue du 1er novembre.Zaouia Beni Tamo...",025 31 71 91 / 0770 91 87 85 / 0770 91 87 86,contact@sncadver.com
BEJE / Bejaia Emballages,"Route des Aurès.Ihaddaden.Bp 20,Bejaia,A...",034 10 21 90,bejaiaemballages@yahoo.fr
YOU'S PACK,"05, Haouch Hamza Lamirat.Baraki,Alger,Al...",,contact@youspack.com
MEDICOMP,"Zone d'activité, n°6. Zéralda,Alger,Algé...",023 20 81 60 / 023 20 81 63,medicomp2009@hotmail.fr
BIOPHARM,"Zone industrielle Oued Smar, lot N°62, v...",021 50 63 10 / 021 50 59 10 / 021 50 51 99 / 0770 14 52 52,administration@hhi-dz.com
PHARMALLIANCE / Direction Générale,"252 Domaine Kouchi Idir.Ouled Fayet,Alge...",0553 62 56 19,info@pharmalliance.dz
SANDOZ Ex. LBA,Zone industrielle.Cw 118.Bp 74M.Oued Sma...,021 51 35 09 / 021 51 67 30,oussedi.saddek@sandoz.com
MSB / Madani Scolaire et Bureaux,"Cne de Frikat . Draa El Mizan,Tizi Ouzou...",026 38 71 71 / 0770 80 67 80,contact@stilina.com
UPC / Union Pharmaceutique Constantinois...,"49, zone industrielle le Rhmuel,Constant...",0661 30 15 05,upc25_cne@yahoo.fr
Acry Therm,"Zone d'activité lot n°60,Setif,Algérie",0661 91 16 19,atpssarl@gmail.com
IMC / Industries Médico Chirurgicales,"Zone industrielle voie A, B.P 26, Rouiba...",0661 94 31 48,info@imc-dz.com / dc@imc-dz.com
JOKTAL,Zone industrielle Arbal.Bp 07.Oued Tlela...,0561 67 43 39 / 0561 67 43 12 / 0561 67 43 01,info@joktal.com / nasr.benhadji@joktal.com
POLYCAD / Polymères Caoutchoucs Dérivés,"Zone d' Activité, lot n°55.Draa El Mizan",0560 02 25 16,contact@polycad-dz.com
UIBD / Unité Industrielle Bouhala-Douma,"Cité Annasre .Ain Touta.Batna,Batna,Algé...",033 83 57 84 / 0661 83 67 95 / 0771 83 02 50,doumaindustrielle@gmail.com
ICA CHIALI / Industrie Caoutchoutière &...,Zone industrielle.Lot n°21.Bp 82.Es Seni...,0550 48 05 79 / 0550 17 77 96,ica-chiali@hotmail.fr / info@ica-chiali.com
SAMETTEX,"05, route Sidi Moussa.Baraki,Alger,Algér...",021 53 32 19 / 021 53 38 18 / 021 53 19 45,samettex10@gmail.com
Khalifa Miroirs,"42, rue des Frères Mameri.Koléa,Tipaza,A...",024 36 60 56 / 024 36 60 57 / 0770 91 98 05 / 0770 91 98 17 / 0770 78 63 53,khalifa_miroirs@yahoo.fr
SANAMED,Hai si Toufik n°16 Zéralda,0555 03 55 56,dmvsanamed@gmail.com
COPHYD,Algérie Poste,024 36 30 21 / 024 36 30 20 / 024 36 30 22,marketing@cophyd.com
COSMEPROF Eleis Pharma Génération,"1, Rue du 1 Novembre.Ahmeur El Ain,32, A...",024 55 96 16 / 023 17 62 88 / 0555 68 30 04 / 0770 44 33 07,amaeleis@gmail.com
SPOA / Société des Peintures de l'Ouest...,"22, avenue Khiali Bensalem,Oran,Algérie,...",041 51 53 81 / 041 51 53 82 / 041 51 53 89 / 0661 20 09 21 / 0660 37 33 95,soltane_peintures@yahoo.fr
Peinture Midy 2,"Lot n° 07.Zone d’Activité de Zéralda,Alg...",0770 90 28 99 / 0561 11 62 23,midypeinture2000@yahoo.fr / midypeinture@hotmail.com / peinture.midy@yahoo.fr
