Title,Info,Company,Company1
RAYLAN,Zone industrielle MIN.Lot n°105.El Bouni...,0560 95 16 92 / 0560 78 71 90 / 0555 04 07 07 / 0661 85 08 50 / 0555 00 42 61,contact@yaylandz.com
HRLI,"Cité Champs d'essais, lot n°22A, local n...",021 52 78 69 / 021 51 41 13 / 0770 43 28 90 / 0550 43 02 86,doremifaso@hotmail.fr
RDO / Région de Distribution Ouest,"02, rue des Soeurs Benslimane,Oran,Algér...",041 29 15 22 / 29 15 26,
GRTG / Société Algérienne de Gestion du...,Route Nationale n°38 Immeuble des 700 bu...,021 83 89 03 / 021 83 84 00,bouzemam.ihcene@sonelgaz.dz
MPV,"07, chemin Fernane Hanafi.Hamma,Alger,Al...",021 67 23 15,
VERITAL/ Direction Générale,"38, lotissement PONS Kouba,Alger,Algérie",023 70 17 27 / 0770 90 72 67,commercial@verital.dz
Groupe Gouicem,Rue du 1er novembre.Chemin de Bitam.Bari...,033 89 80 53 / 0555 01 23 72,info@gouicemgroup.com
WOOD GROUP SOMIAS / Société de Maintenan...,"Route des Salines.El Bouni.Bp 326,Annaba...",,somias@asmidal-dz.com
Djanitech Security,"Cité Des Travailleurs Pièce N°01, Groupe...",023 74 77 84 / 0555 03 88 99 / 0560 04 76 91 / 0555 03 86 50 / 0555 03 86 51 / 0560 04 76 99 / 0555,contact@djanitech.pro
DECOPORS,"Bp 1260 Saïm Mohammed,Oran,Algérie,31120",041 72 48 02 / 0661 10 13 21,sarldecopors@gmail.com
PLAF PVC,"Cité Bachdjerrah, Bt n°57, local N°01, B...",024 37 03 53 / 0771 52 39 55 / 0560 31 31 78,larbiplaf@live.fr
CFCE / Chaud Froid Climatisation Equipem...,"05, boulevard des Entrepreneurs.Coopérat...",0661 37 88 24 / 0661 32 84 78 / 0661 35 02 88,cfce_algerie@yahoo.fr / zitouni.melab@cfce.dz
Algerian Vending Company,"Lot 107, n°70. El Hassi,Setif,Algérie",0550 28 26 82 / 0770 92 22 75,atlexj@yahoo.fr
ICO / Imprimerie Color Offset,"12, rue Abderrahmène Lakhdari.Sidi M'ham...",021 65 70 85 / 0550 41 17 49,zentarico@yahoo.fr
SICPO / Société d'Impression Cartonnage...,Avenue de l'Armée de Libération National...,,
SACAEH / Société de Sacherie Ain El Hadj...,"BP 05, Route de la Gare Ain El Hadjar,Sa...",048 40 32 17 / 048 40 31 07,sacaeh@yahoo.fr
PAPIREC / Papier Récupération,Quartier Sainte Corine parc Talha Bp 133...,0660 88 83 62,papirec@gipec.dz
Maghreb Emballage,"Section 02, lot 59.El Kerma.31007",0550 55 55 33,contact@maghrebemballage.com
Dar El Houda,"1, route Ouris Bachir. Bab el Oued,Alger...",021 96 62 20 / 0770 36 50 66 / 0550 50 99 90,darelhoudalg@gmail.com
Imprimerie Harani,"14, Boulevard Bouaouina Béjaia,Bejaia,Al...",0770320670,contact@imprimerie-harani.com
Sérigraphie OUACHEK et CIE,"68A, Boulevard Colonel Bougara.El Biar,A...",021 79 18 76 / 0550 10 71 33 / 0550 05 29 29,mohamed-ouachek@hotmail.fr
Imprimerie Technico Color,"2, rue Yahia Farhi.El Magharia.Hussein D...",021 77 10 73,technicocolor@gmail.com
Beka Imprimerie,"Lot 1032, les Dahlias.faubourg Kiffane,...",043 43 44 34 / 0557 21 74 54,contact@beka-imprimerie.com
SIO / Société d'Impression de l'Ouest,"03, route de l'étoile.Essenia,Oran,Algér...",041 61 77 51 / 0770 97 84 85,directiongenerale@sio-dz.com
SNIBC / Société Nouvelle Impression Bata...,"11, rue des Frères Aouadj.Bologhine,Alge...",0550 07 23 30 / 0551 12 79 27,snibc@yahoo.fr
El Walid Emballages,"Zone industrielle. Kouinine. Bp 08, 3901...",,contact@elwalid.com
SAEL / Société d'Application d’élastomèr...,"Zone industrielle.Oued Smar.21, route de...",,contact@sael-dz.com
AFRICAVER / Société Africaine du Verre,Zone industrielle de Ouled Salah.Bp 06.E...,034 54 97 96 / 034 54 97 97 / 0555 70 80 24 / 0555 70 80 23,afv@africaver.com.dz
ADE / Algérienne Des Eaux - Zone d'Oran,"5, rue des Frères Bouchakour,Oran,Algéri...",,
MSB / Madani Scolaire et Bureaux,"Cne de Frikat . Draa El Mizan,Tizi Ouzou...",026 38 71 71 / 0770 80 67 80,contact@stilina.com
