Title,Info,Company,Company1
El Basma Nord,"72, route de bainem .Bouzareah,Alger,Alg...",0666 64 56 88,eurlelbasma@yahoo.fr
Jana Global,El Oued,0661 20 60 00,janaglobal.expo@gmail.com
Boublenza Agpa,"Rue Bouabderrahmane. Faubourg Agadir,Tle...",043 27 38 92 / 0560 93 69 06 / 0770 91 69 09,d.benosman@carob-powder.com
Fennec Food,"Résidence El Bahia,144 logts bloc 6, ilo...",0561 90 31 72 / 0542 12 56 26,fennecfoodalgerie@gmail.com
Groupe Benhamadi,", Bordj Bou Arréridj",,
SIM / Semoulerie Industrielle de la Miti...,Zone industrielle de Ain Romana.Bp 51bis...,025 24 79 79 / 025 24 79 60 / 025 38 11 04 / 0550 90 29 19 / 0550 90 29 20 / 0550 90 29 21,contact@groupesim.com
Les Grands Moulins du Dahra,Zone d'activité.Route de la Salamandre.M...,045 35 63 73 / 045 30 08 80 / 0555 62 52 65,gmd@groupe-metidji.com
MG / Molino Grani,"Zone d'activité de Taharacht.Akbou,Bejai...",0552 47 05 15 / 0770 94 56 01,molinograni@hotmail.fr
SOSEMIE / Socièté Semoulerie Minoterie l...,"17, Cité Benaissa.Beni Mered.Bp136,Blida...",0560 09 33 33,contact@sosemie.com
MSB/ Minoterie Sidi Bendhiba,"Sidi Othmane, Sagada. BP N°225,Mostagane...",045 33 15 00 / 0783 25 12 08,minoterie@gisb-dz.com
Les Grands Moulins Belghith,Cité des fréres Boukharchoufa .M'Daourou...,0661 39 00 63,contact@moulinbelghith.com
Minoterie Bordj Farines,"Zone d'activité, n°03.Bordj-Menail,Boume...",024 88 52 00,sarlbordjfarines@yahoo.com
Global Santé,"68, lot Cheikh Tahar,Annaba,Algérie",0550 58 08 10 / 0550 58 08 93,globalsante23000@gmail.com
Les Moulins Azzouz,"Zone industrielle,Sidi Bel Abbès,Algéri...",048 70 35 67 / 048 70 34 18 / 048 70 35 93 / 048 70 35 42 / 0661 24 00 53,groupazzouz.spa@gmail.com
CAPAC / Complexe Azzouz Pâtes Alimentair...,"Zone industrielle,22000",0555 02 02 05,contact@groupe-azzouz.com
Complexe Agro Alimentaire El Baraka,"Zone industrielle, n°15.Bp 222 bis,Setif...",036 62 53 72 / 0770 94 58 82 / 0560 98 63 00,moulins_guezzout@yahoo.fr
Moulin Bouguerra Zaidi et Frères,"Rn n°5.Tadjenanet,Mila,Algérie,43220",0555 03 98 76,
Moulins Tidjaniane Battate,"Rn n°06.Mechria,Naama,Algérie,45000",0661 26 01 26,battatehabib45@gmail.com
STCO / Societe de Transformation des Cér...,"Zone industrielle de Sig.Ilot n°16,Masca...",,
Addala Abdelkarim,"Hai Kadour Ben Hattab.Bougaa,Setif,Algér...",,addalaabdelkrim@yahoo.fr
ENNASSAA,Zone d'entrepôt et d'activité 5eme tranc...,036 44 91 20,ennassaasetif@yahoo.fr
Smid du Tell,"5ème rue.Zone industrielle,Setif,Algérie",036 62 50 25 / 036 62 50 10 / 0560 00 44 09,sarl.smid.du.tell@gmail.com
SPAC,"Zone industrielle.Bp 455 Bis,Setif,Algér...",036 62 52 28 / 0555 61 31 79,sarl_spac@yahoo.fr
