Title,Info,Company,Company1
Elsecom / Daewoo Trucks,"ZI, lot N°135, CW N°118. BP N°169. Oued...",023 81 75 64 / 0770 94 81 21,contact@daewoo-elsecom.com
SERPIC,"Bt. B, n°2. Cité Garidi 2. Coop El Besma...",021 54 20 57 / 021 56 13 90 / 0662 05 61 04,serpic96@hotmail.com
RAYLAN,Zone industrielle MIN.Lot n°105.El Bouni...,0560 95 16 92 / 0560 78 71 90 / 0555 04 07 07 / 0661 85 08 50 / 0555 00 42 61,contact@yaylandz.com
CAT / Compagnie Algérienne du Tracteur,Rue des Frères Achouri.BP 367.Dar El Bei...,021 75 19 54 / 021 75 19 55 / 021 75 19 56 / 0661 62 02 82,cat@wissal.dz
SALIMAC / Société d'Importation de Matér...,"Zone industrielle, desserte n°05,Tlemcen...",043 27 69 72 / 043 27 50 23 / 0661 22 01 99,salimac@mail.com
BMI / Bejaia Matériel Informatique,"42, cité Tobbal,Bejaia,Algérie,06000",034 12 95 42 / 034 21 25 72 / 034 22 10 10 / 0770 14 22 62,contact@bmi-algerie.com
Kom Algérie,"56, rue Ali Khodja. Ain Taya,Alger,Algér...",023 87 58 20 / 0661 51 84 14,komalgerie@hotmail.com
ALTRUCK,"Zone industrielle.Voie A, n°22.Rouiba,Al...",023 85 02 75 / 023 85 02 38 / 0555 08 20 51 / 0555 08 19 17 / 0560 050 716,amel.senoussi@groupehasnaoui.com
Esasoud Welding And Cutting,Haouch Sbaat nord gb 90 classe 07 Zone...,0555 02 95 37,adm.ewc@hotmail.com / adm.esasoud@hotmail.fr
HRLI,"Cité Champs d'essais, lot n°22A, local n...",021 52 78 69 / 021 51 41 13 / 0770 43 28 90 / 0550 43 02 86,doremifaso@hotmail.fr
Groupe Gouicem,Rue du 1er novembre.Chemin de Bitam.Bari...,033 89 80 53 / 0555 01 23 72,info@gouicemgroup.com
WOOD GROUP SOMIAS / Société de Maintenan...,"Route des Salines.El Bouni.Bp 326,Annaba...",,somias@asmidal-dz.com
Djanitech Security,"Cité Des Travailleurs Pièce N°01, Groupe...",023 74 77 84 / 0555 03 88 99 / 0560 04 76 91 / 0555 03 86 50 / 0555 03 86 51 / 0560 04 76 99 / 0555,contact@djanitech.pro
Technics Data,"19, Rue Dijon. Les pins Maritimes.El Moh...",,tech-data@wissal.dz
FUTURIK,"87, Rue de Zouaoua .Dely Brahim,Alger,Al...",023 36 02 01 / 023 36 02 07 / 023 36 02 11 / 0555 01 71 59,info@futurik.com
Eurequat Algérie,Villa n° 183.Bois Des Cars 3.Dely Ibrahi...,0561 63 96 01,commercial@eurequat-algerie.com
Afhymat Algérie,"Cité Ben Adjel, Lot N°6. Boudouaou,Boume...",024 74 90 25 / 0550 97 38 37,afhymat-algerie@hotmail.fr
