Title,Info,Company,Company1
SOITINE / Soieries Tissages et Impressio...,Bp 93.Khoriba.Route de Ghazaouet.Nédroma...,043 32 25 73 / 043 45 21 68 / 0554 50 69 86,soitine_spa@yahoo.fr
DRAPEST / Draperie de l'Est,"Zone industrielle, route de Baghai.Bp 29...",032 73 06 56 / 032 73 06 50,drapest@yahoo.fr
TMI / Tissage Moderne Isser,"01, rue du Marché.Isser,Boumerdes,Algéri...",024 71 47 89 / 024 71 47 91,tmissers@hotmail.com
TM TEX,"Zone Industrielle.Lot n°21,Sidi Bel Abb...",048 70 32 21 / 0555 03 48 89 / 0555 03 48 87 / 0555 03 48 90 / 0559 13 55 39,contact@sarltmtex.com
TIFIB,"Zone Industrielle.Bp 130 Rp,Biskra,Algér...",033 75 41 68 / 033 75 41 83,tifib@texalg.dz
RANATEX,"175, cité Zouaghi Ain El Bey,Constantine...",,
Hidra Textiles,"60, rue Douid Mohamed .Beni Tamou,Blida,...",025 27 71 59 / 0661 67 15 34,hidratextiles@yahoo.fr
Algérie Dentelle,"Tipaza,Algérie,13, rue Daoudi Ali. Douao...",024 30 83 44,
ALFADITEX / Entreprise de Fabrication de...,"RN n°26 Remila Fenaïa .El Kseur,06310",0550 80 59 18,alfaditex.tda@gmail.com
MERIMEX,"Centre Ville .M'chedallah,Bouira,Algérie...",026 79 95 08 / 0661 62 03 49 / 0663 81 61 72,sarlmerimex@yahoo.fr
Safsi Cuir / Société Algérienne de Fabri...,"Zone industrielle Reghaia.Bp 11/2,Alger,...",023 96 77 57 / 023 96 77 37,hamilha@gmail.com
COTOSUD / Cotonnades du Sud,"Zone Industrielle Bouchakeur.Bp 1247,Lag...",029 13 38 33,coto_sud@yahoo.fr
MAF / Manufacture Algerienne de Filature...,"Zone Industrielle, Desserte n°5. Chetoua...",043 27 42 47 / 0555 07 00 50,contact@mafe.dz
BLITEX / Bonneterie & Matières Textiles,"56, rue du 17 Septembre, Zone industriel...",025 26 92 89 / 025 26 86 81 / 025 26 86 82 / 0661 53 23 24,sarlblitex@yahoo.fr
FASOLUX,"20, boulevard Zaimi Kaddour. Mouzaia,Bli...",024 24 90 85 / 0770 29 36 37 / 0770932939,fasolux@hotmail.fr
COMIBTEX,"Lot Bouaziz., n°5,Tizi Ouzou,Algérie",026 20 45 45 / 0660 44 09 89,sarlcomibtex@gmail.com
SOBITEX / Société Blidéenne des Industri...,"Lot 238, Hai les Touates.Ouled Yaich,Bli...",025 26 93 87 / 025 26 93 89 / 0661 61 01 59 / 0550 74 25 17 / 0774 03 64 43,goutexal@yahoo.fr
Ould Babali Youcef,"Rue 05 juillet,Medea,Algérie,26000",0771 44 90 79,
SOCHETEX,Route Nationale n°5. Zone industrielle R...,,sochetex@yahoo.fr
Al Fateh,"Zone industrielle, route de Biskra,Batna...",0560 02 83 23,spaelfath@yahoo.fr
L'Algerienne des Industrie Textiles TAYA...,"Zone industrielle, section 22, ilôt, pro...",046 80 29 04 / 0560 91 55 70,info@tayal.dz
TAPIDOR,Chemin Vicinal n°1. Hassiane Ettoual.310...,0555 04 20 00,contact@tapidor.net
SOCOPLAST,"16, Route de Meftah, Zone Industrielle.O...",021 51 33 15 / 021 51 63 33,socoplast2003@yahoo.fr
El Ferdaous,"Cité des 24 logts.Bel Air,Setif,Algérie",036 61 34 84 / 0770 94 12 38 / 0550 59 87 43,meguellati_abdelaziz@yahoo.fr
Sadou Abdou,"Cité 20 Aout 1955, n°6.Ouled Fayet,Alger...",0560 90 74 93 / 0559 41 94 42,eurlsadouabdou@hotmail.fr
Hammoudi abdeslam,"22, rue des Frères Baha,Jijel,Algérie,18...",034 47 17 55 / 0661 52 20 90,acimetal@hotmail.com
Leader Expo,"Villa, n° A11, Cité Cheikh El Aifa, Ain...",036 43 31 00 / 0560 40 94 23,info@leaderexpo.dz
Britex Tapis,Cité Boushaki n°14.Bab Ezzouar,0560 05 77 15 / 0560 05 77 14 / 0555 05 55 13,warda@bri-tex.com
Staoueli Textiles,"80, cité Mimosas, bt F1.Staoueli,Alger,A...",023 39 34 35 / 023 39 35 80 / 0661 51 14 30,contact@staouelitextiles.com
Chahma Mounira,"Cité RE. BP1096,Ghardaia,Algérie",0778 16 68 93 / 0782 23 33 30 / 0699 60 65 38,mountapis2000@yahoo.fr
Algérie Moquette,Bt 56 n°02. Cité 1100 logts.Dar El Beida,0660 20 82 98 / 0661 45 61 23,contact@algerie-moquette.dz
DELTASIGN,Seddouk Tibouamouchine.06000,0540 70 78 98 / 0561 29 44 87,deltasign.dz@gmail.com
Nour El Djazairi El Irani,"02, boulevard El Imam El Ghazali .El Mou...",0661 51 25 69 / 021 69 16 78 / 0672 57 72 88,youcefcherifiassima@gmail.com
Au Tisserand,"Hai Sidi Said, n°03,Tlemcen,Algérie",043 27 62 85,sarltiss@yahoo.fr
Manufacture de Tapis Berbères,"Rue de la Gare. Remchi,Tlemcen,Algérie",043 43 74 65,mhgaouar@gmail.com
Sakani Deco,"Boulevard Ariba El Houari, en face commi...",0555 04 21 29 / 0555 04 51 58,sakmaraval@yahoo.fr
Casa Tex,"Cité Bendanoune, zone industrielle, n°07...",024 97 61 83 / 0561 90 32 28 / 0550 40 31 35,eurlcasatex@yahoo.fr
Sahin Tapis,"3, cite Amarni. Baba Hassen",0561 63 21 51 / 0555 97 04 22 / 0795 99 30 88 / 0659 27 25 71,sahinpolat1977@hotmail.com
Boumedouna Hada Eps Adam,"Coop Chellaliate .Ksar Chelala,Tiaret,Al...",046 46 81 09 / 0552 21 91 46,
Benslimane Bahmed Ben Aissa,Pl du Marche,0662 17 51 77,tapis_du_mzab@yahoo.fr
DTEX Industrie,"Cité SNTP 03 groupe D, lot 02.Dar El Bei...",0661 53 35 33,bilel@deltaimport.onmicrosoft.com
SOMATEC / Société de Matériel de Campeme...,"228, Rue Mohammed Belouizdad,Alger,Algér...",021 67 31 50 / 021 67 24 24 / 0661 91 06 53 / 0770 29 44 76 / 0770 29 24 40,commercial@somatec-dz.com
LEBZA Tentes,"Cité 1 Novembre .El Chott,El Oued,Algéri...",032 10 97 41 / 0560 27 33 47 / 0560 27 33 63 / 0560 40 25 44,info@lebza-tentes.com
EATIT/ Entreprise Algérienne des Textile...,BP 52. Zone industrielle M'Sila,,tindalspa@yahoo.fr
Store Tinda et Bache,"4, rue Kaouche .Cheraga Rp,Alger,Algérie",0772 29 68 27 / 0661 89 66 05,
Bey Decor,"4, rue Said Abdeslam, cité Gotali. El Eu...",0560 32 24 40 / 0661 21 23 21,beydecor@gmail.com
MR STORE,"123, cité Khaznadar, lot el Yasmine. Ain...",031 69 25 46 / 0770 30 40 51,mstore.constantine@gmail.com
TISCOBA,"Zone industrielle de Guerrara,Ghardaia,A...",029 22 80 00 / 0560 17 88 40,info@tiscoba.com
EATIT/ Entreprise Algérienne des Textile...,"Rue Lumumba Patrice, Casbah, Alger, Bab...",,contact@eatit-dz.com
Mezaache Alla Eddine Confection Bache,Cité 700 logements,0666 90 60 08,mezimad85@gmail.com
General Top Stor,"1458, lot Compagne Semmar, lot n°1. Birk...",0669 26 91 44,contact@gtstor.dz
ALCOVEL / Algérienne des Cotonnades et V...,"Zone industrielle.Rn n°26.Akbou.Bp 63,Be...",034 33 70 15 / 034 33 79 69 / 034 33 79 70 / 0770 32 26 38,info@alcovel.com
CIRN / Comptoir International de Représe...,"03, bd Pasteur .Lot Cherbal Ain Nedjar,T...",043 41 55 29 / 0560 33 10 46,cirn_benguella@yahoo.fr
Casa Nova Tex,"Coopérative Sastra , n°1.Garidi 01,Alger...",0561 27 56 28 / 0550 43 74 30,contact@casanova-dz.com
ROSATEX / Société des Industries Textile...,Route de Soumaâ centre de Hallouya. Soum...,,
ZDH Import Export,"Centre Wilaya BP 8 .Chorfa,Bouira,Algéri...",026 79 95 15,
Belazzoug Trades,"7, rue zone industrielle lot217,Bordj Bo...",035 74 41 09 / 0550 55 01 03 / 0770 95 33 04 / 0550 64 03 45,belazzougtraders@gmail.com
Boulouza Tissu,"Cité El Hamiz,Alger,Algérie",023 85 68 46 / 0664 55 69 62 / 0558 45 06 66 / 0541 39 34 52,boulouza.tissi@gmail.com
MINIROS,"09,Hai Ben Chaoua .Kheraicia,Alger,Algér...",0550 59 15 05 / 0661 40 22 64 / 0660 40 66 20 / 0770 49,client@miniros.com
TECMECA,"Zone industrielle de Oued Smar.Bp 53M,Al...",023 92 01 64 / 0555 00 29 19 / 0555 00 29 20 / 0661 52 70 62 / 0550 66 78 47,info@tecmecasarl.com
Lux Action,"Cité Draa El Azz, lot 03, ilot 103.Ouled...",0770 92 65 30 / 0550 45 21 71,info@lux-action.com
TEXTITEC,Coopérative Safsi.Aissat Mustapha.Reghai...,023 96 78 43 / 023 96 77 57 / 0661 63 64 10 / 0555 01 06 90 / 0555 01 06 82 / 0555 01 06 82,contact@textitec.com
El Naim Net,"Cité Dekakna, Douera,Alger,Algérie",0662 73 65 65 / 0561 80 85 35,naimbouderbala16@gmail.com
TOMA NET,"Route Kadous N°07 (Ex 32), Section 02, I...",0770 86 29 50,sarltomanet@gmail.com
SEBTEX,"34, rue Sedrati Amar Chelghoum laid,Mila...",031 48 17 17 / 0560 06 00 41,sebtex70@hotmail.com
Galaxy Linge,"Cité El Chellalet. Rue Madaoui Ali, n°02...",0550 59 45 20,galaxylinge@hotmail.fr
Ghiles Tex,"Zone Industrielle n°40. Bordj Menail,Bou...",0550 05 06 26,ghilles79@hotmail.com
Filmo Plast,Zone d'activité et D'Entrepôt Guedjel (R...,0560 84 82 18 / 0560 86 52 16,cantact01@tntex.dz
Debdaba Yacine,"Lot n°11, section 13. Cité Frère Abbas....",0550 48 42 81,ydebdaba47@gmail.com
BACHICOO,"Houche Dhimet, section n°01, lot 273, n°...",0561 62 92 76 / 0550 54 18 13,bouchicoopro@gmail.com
Almod Plus,"36, boulevard d'Afrique,Annaba,Algérie",038 44 25 48 / 0552 31 63 12 / 0550 52 39 88,almodplus@yahoo.com
Supretex,"Village Bouassam.Naciria,Boumerdes,Algér...",023 49 50 14 / 023 49 50 13 / 0661 52 16 19,supratex.khettabi@gmail.com
Groupe Victoria,"Bloc A2, Cité 59 logts local N°09 Belgai...",0553 31 00 74,groupevictoria.dz@gmail.com / Sarlvictoria.dz@gmail.com
BONTI,"69, Boulevard Mabrouk Belahcene.Rais Ham...",0555 91 00 10 / 0555 91 00 01 / 0770 49 08 81 / 0550 35 24 78,bonti-16@hotmail.fr
Chaussette Oasis / Filois Socks,"Chabet El Ameur.Bp 68,Boumerdes,Algérie",024 78 98 95 / 024 78 98 96 / 0550 87 38 56 / 0661 53 27 24,bil_dz2005@yahoo.fr
Etoile Filante / Mansouri Ali,"Bt B2,n°607.Cité Pépinière 368 logts,Bej...",034 16 05 33 / 034 16 04 99 / 0661 63 26 10,etoilefilantesport@yahoo.fr
FALEC,"Zone d'Activité, lot 2, îlot n°3.Oued Tl...",041 25 20 25 / 0770 44 23 48 / 0661 21 67 57,sarlfalec@yahoo.com
Oasis Ikhoua Mouas,"Rue Touabi Ahmed Chabet El Ameur.Bp 68A,...",024 78 98 95 / 024 78 98 96 / 0664 57 67 40,bil-dz2005@yahoo.fr
Chaussettes 2000,"Zone industrielle de Kherrouba, lot n°32...",024 98 91 08 / 0661 50 38 06,chaussettes2000.amine@hotmail.com
Bennacer Chaussette,"Zone Industrielle Grara,Ghardaia,Algérie",0672 25 91 94 / 0672 25 91 94,ets.bennacer@yahoo.fr
SAFILCO / Société Aurassienne de Filatur...,"Route de Batna BP 22 .Ain Djasser,Batna,...",033 98 70 70 / 033 33 51 43 / 0561 64 00 43,safilco@yahoo.fr
BEJE / Bejaia Emballages,"Route des Aurès.Ihaddaden.Bp 20,Bejaia,A...",034 10 21 90,bejaiaemballages@yahoo.fr
FILBA,"Bp 270, Zone Industrielle, Route Biskra...",033 89 12 83,filba@texalg.dz
Behlouli Industrie,"38 zone d'activité Medjana,Bordj Bou Arr...",035 87 94 93 / 030 57 57 75 / 0661 11 17 83,sarlbehlouliindustrie@yahoo.fr
Alarbi et Fils,"Zone Industrielle, haouch Lamirat 186, l...",021 76 80 08 / 0550 05 39 94,afcmonofilament@gmail.com
Nouadria Distribution Comptoir,"Cité 100 logements Mohamed El Kourd, lot...",038 42 00 16 / 038 42 00 17,info@nouadriadistribution.com
ATLANTA,"3, hai Ferari Groupe A lot n°25. El Hami...",0790 15 80 76 / 0773 59 75 30,atlantaalger@yahoo.fr
REMSI,"Lotissemet 194 logements .Batiments n°2,...",0661 11 09 01 / 0560 06 69 90,contact@remsi-dz.com
TDA / Textiles Divers Algérie,"Route d'El Alia.Bp n°5.Bab Ezzouar,Alger...",023 83 23 84 / 0560 08 19 95,contact.direction@tdaspa.com
