Title,Info,Company,Company1
ETANCHAL / Société de Production de Prod...,"Zone des Activités de Belacel.Bp 492 Rp,...",046 71 11 30 / 046 71 11 68 / 0555 98 60 91 / 0555 62 06 47,contact@etanchal.com
Total Bitumes Algérie,"60 S, Boulevard Colonel Bougera, El-Biar...",021 92 03 33 / 021 92 03 34 / 0555 77 94 78,redouane.krar@dz.totalenergies.com
Afrique Étanche,"Lotissement Said Ahmed, n°62.Bordj El Ki...",0661 59 83 42 / 0661 59 83 47 / 0661 59 83 42,afriquetanche@hotmail.com
ESAI / Entreprise des Services et Activi...,"16, avenue des trois Frères Bouaddou.Bir...",023 54 22 11 / 023 54 20 69 / 023 54 20 71 / 023 54 20 67,info@esaidz.com
Afitex Algérie,"Siege:Cité les castors, villa n°41.Bordj...",021 21 19 59 / 021 21 39 70 / 0661 92 96 97 / 0661 92 96 96 / 0661 92 96 79,contact@afitexalgerie.com
Tekna Chem Agerie,"Zone industrielle. Bp 203,Sidi Bel Abbè...",048 70 66 37 / 0552 52 25 98,info@teknachem.com
SOGEOS / Solutions Géosynthétiques,"Villa n°07.Coopérative El Rafik, Rue du...",023 86 26 84 / 0560 03 08 18,sogeos@sogeos.com
ILB,"Coopérative immobilière En-Nasr, Lot Hao...",0561 65 22 30 / 0560 08 53 93,infos@ilb.dz / sarlitb@live.fr
SOETANCH,"Rn n°4.El Ghomri.Mohammadia.Bp 5075,Masc...",045 95 35 26 / 0661 25 65 53,sarlsoetanch@yahoo.fr
IDMCD,"Rue Douid Mohamed.Beni Tmou,Blida,Algéri...",0560 04 00 38 / 0560 04 00 44 / 0550 58 73 12,contact@idmcd.dz
ALGREEN,"02, route d'Alger, Z. U. Douaouda Ville....",024 30 85 80 / 0559 95 26 01 / 0555 98 39 52,commercial@algreen-dz.net
Afitex Algerie / Direction Régionale Con...,"Cité Bouhali, villa N°99, El Khroub,Cons...",031 82 51 18 / 031 60 31 15 / 0661 92 96 74,contact@afitexalgerie.com
Afitex Algerie / Usine de Production,"Lot N°21, Zone d'activité. Kherouba,Boum...",024 98 95 88 / 0661 92 96 83,contact@afitexalgerie.com
Afitex Algerie / Direction Régionale d'O...,"Bd Millenium,Oran,Algérie",0661 92 96 75,contact@afitexalgerie.com
ENG / Entreprise Nationale des Granulats,"Cité Administrative, lot n°135. Ouled Fa...",0660 40 32 24,info@eng.dz
PLAF PVC,"Cité Bachdjerrah, Bt n°57, local N°01, B...",024 37 03 53 / 0771 52 39 55 / 0560 31 31 78,larbiplaf@live.fr
Afrique Aluminium,"Zone industrielle.Oued Smar.Bp 73,Alger,...",021 51 66 11 / 021 51 58 08 / 0555 01 97 94,info@afrique-alu.com
Satal Plus / Direction Générale,"05, lotissement El Feth Jolie Vue.Kouba,...",0661 96 25 01,info@satalplus.com
COLPA / Cosider Lafarge Plâtre Algérie,Zone Industrielle Rouiba Haouche Sbaat n...,0770 93 90 93 / 0770 93 90 90 / 0661 52 21 64 / 0770 89 49 54,contact@colpa.dz
Placo Distribution,"Banlieue Oumdrou, section 8, groupe 128,...",027 71 84 48 / 027 71 80 22 / 0560 08 51 48 / 0560 08 51 49,placo@groupe-soprec.com
ECO SUD / Société de Production d'Enduit...,"1, rue Poiret Mohamed V,Ghardaia,Algérie...",029 27 22 89 / 0555 09 98 76 / 0661 39 04 05,sarlecosud@yahoo.fr
APMC / Pôle Régional de Bejaia / Ex:SOMA...,"Zone industrielle ihaddaden.Bp n°159,Bej...",034 12 00 43 / 034 12 44 / 034 12 00 45 / 0770 74 76 02 / 0770 94 50 34,dgb@apmc-dz.com
Attouche Decors,"Lot 1 et 2 Lieu dit el Khali Heddouda ,...",0770 33 04 87 / 0550 78 46 03 / 0770 53 48 76.,contact@attouche-decors.com / contact@attouche-decors.fr / massilia-attouche@hotmail.fr
BATISSIMO,"Local n°13.73, Zone d'activité Kaidi.Bor...",023 74 93 98 / 023 74 93 41 / 0561 61 68 55 / 0561 60 62 90,batissimo.eagle@gmail.com
BMSD Chaux,"Lot Boushaki, n°31.Bab Ezzouar,Lotisseme...",023 83 23 41 / 023 83 26 99,sarlbmsddz@yahoo.fr
SOFIREC / Société de Finances Réalisatio...,Lotissement n°21.Groupe 3.El Hamiz.Dar E...,023 85 62 58 / 0667 91 55 21,sofirec.weber@gmail.com
Mistral Systemes Construction,"Cité Branci, 109 Rouiba Rp ,16012",0661 65 30 63 / 0661 65 80 51,contact@mistralsystemesconstruction.com
DECORAPLUS,"34, vieux Ain Naâdja. Birkhadem,Alger,Al...",023 78 53 68 / 0555 28 16 27,decoraplus.dz@gmail.com
BCB / Baslimane Chaux Berriane,Zone artisanale Soudane.Bp 3996.Berriane...,0555 00 31 73 / 0555 00 31 81,commercial_bcb@bergan-energy.com
Golden Sand and Project,"Bir Mourad Rais.Bp 360,Alger,Algérie",0770 93 02 31 / 0770 93 02 33,composium@live.fr
PIMA Colle,"Cité Douid Mohamed .Beni Tamou,Blida,Alg...",0661 61 13 27 / 0772 39 32 47 / 0656 56 90 93,boudje521@gmail.com
Ceram Colle,"Rn n°5.Zebouja,Bouira,Algérie,10121",0550 22 20 26 / 0791 39 23 52,ceramcolle@hotmail.com
PLATRIE D'OGGAZ,"Ras Ain Amirouche.Bp 25S,Mascara,Algérie",,contact@platriereoggaz.com
TAOUAB,Route de Medjedel commune El Hamel Bou S...,0661 50 78 31 / 0661 45 45 11,g-direction@yahoo.fr / technique@taouab.com / marketing@gnmc-dz.com / info@taouab.com
Lafarge Algérie,"Centre commercial de Bab Ezzouar, tour n...",021 98 54 54 / 021 48 16 66 / 0770 50 30 89,webmaster.algerie@lafarge.com
Semin Algérie / Bejaia,"Rue Boumedaoui Nacer. Cité Somacob, bt A...",0552 63 87 05 / 0560 91 69 51 / 0552 63 87 05,contact@semin-algerie.com
RIMAS ALLU,Zone d'activité pont Bouchet n°3. El Had...,0559 39 53 48 / 0561 97 75 60,alurimas@yahoo.fr
Carrelage des Aures,"Zone d'activité n°67. Commune de Batna,B...",033 22 53 35 / 0770 97 31 05,groupe.delender@gmail.com
NBS / Nuts And Bolts Supplies,"Cité Ben Badisse, BP 654, Hassi Messaoud...",029 79 11 77 / 0698 21 48 04 / 0671 38 40 59,nbsmhd@yahoo.fr
EXIMBAT,Cité du Lycée n°1(à la sortie de Rouiba...,021 85 18 19 / 0550 94 33 52 / 0560 09 60 44,eximbat.eurl@gmail.com
Atlas Staff,"Lotissement n°534.Guessas.Draria,Alger,A...",0550 07 50 07 / 0559 02 34 00,atlastaff@gmail.com
SISCOPLAST / Société d'injection et arti...,"Route de Boghni, Bp n°160. Draa El Mizan...",026 13 20 70 / 0661 30 11 58,siscoplast_dz1@yahoo.fr
Ouallal Frères et Cie,"Rue du Stade.Baghlia,Boumerdes,Algérie",0771 23 75 55 / 0554 77 22 60,
GRANU Est,"Zone Industrielle Palma.Bp 88. Boussouf,...",031 60 71 15 / 031 60 73 14 / 031 60 73 16 / 0661 31 88 32,dggranuest@hotmail.com
Dar Sahla,"03,avenue du 5 Juillet.Beni Izguen,Ghard...",029 25 58 08 / 0550 42 23 82 / 0770 97 37 15,hammoualisalah@yahoo.fr
Maamra Peinture,Cité 1er Novembre Route de Tebessa BP425...,032 10 95 51 / 0553 33 04 80 / 0661 59 44 99,smappeinture2006@yahoo.fr
Othmani & Fréres,"Zone d'Activité Chott,El Oued,Algérie,39...",0661 47 71 51 / 0560 00 50 40,sarllamouchi@yahoo.fr
Enfa Plâtre,"Daira de Bordj Khris .Mesdour,Bouira,Alg...",0550 94 91 50 / 0550 94 94 54,sarl.enfaplatre@gmail.com
Lansari Mahdi,"Tamanrasset,Algérie",0667 70 18 56,
APMC / Algérienne de Production de Matér...,"Cité des 416 logements AADL, bt B .Gue d...",023 53 54 94 / 0671 02 90 65 / 0770 14 10 47,pdg@apmc-divindus.dz
SOAGLOB,"Cité Mohamed Batni, commune El Fedjoudj,...",037 13 64 95 / 0557 32 78 51 / 0556 54 75 73,Sarlsoaglob24000@gmail.com
