Title,Info,tel,Company1
SYRIAN AIR LINES,"CENTRE COMMERCIAL EL HAMMA SOFITEL,Alger...",021 67 11 24 / 0560 12 66 64,rb.algeria@syriaair.com
Turkish Airlines / Direction Générale,Bab Ezzouar Business center Tour Nord 3è...,023 92 42 20 / 023 02 42 20,algmarketing@thy.com
Aigle Azur / Agence Didouche Mourad,"02, rue Didouche Mourad,Alger,Algérie",021 78 16 88 / 021 78 17 01,agence.didouche@aigle-azur.dz
British Airways,"30, Rue Hassane Ben Naamane,LES VERGERS...",021 54 16 69 / 021 56 39 39,algeria-sales@britishairways.com
Hôtel Ssiobasa LE TIMGAD,"22, Boulevard Emir Abdelkader,Oran,Algér...",041 36 15 08 / 041 36 15 09 / 041 36 15 09 11,residencetimgade@gmail.com
Hôtel Chelia,"02, Allée Ben Boulaid,Batna,Algérie,0500...",033 80 72 70 / 033 80 72 71 / 033 80 74 74,egt-est@entreprises-dz.com
EPAL / Entreprise Portuaire d'Alger / Di...,"02, rue d'Angkor. Bp 259. Alger gare,Alg...",021 42 36 09 / 021 42 36 25 / 021 42 36 14 / 021 42 36 16 / 021 42 36 18,epal@portalger.com.dz
Hôtel El Mountazah,"Seraidi,Annaba,Algérie",038 47 35 59 / 038 47 35 60,contact-el-mountazah@egtannaba-dz.com
Hammam Chellala,"Complexe Thermal Hammam Debbagh,Guelma,A...",037 14 92 03 / 037 14 92 63 / 037 14 91 99,avocate24@hotmail.com
Hammam Salihine,"CTHS.complex Hamam Salhine, Hai Hammam S...",033 65 87 88 / 033 65 87 90,egt-biskra@entreprises-dz.com
Hôtel Oasis,"Rue Aissat Idir.Nezla.Touggourt,Ouargla,...",029 66 15 15 / 029 66 14 50,hoteloasistggt@yahoo.fr
Hôtel Tamgout,"Rn n°12.Yakouren.Azazga,Tizi Ouzou,Algér...",026 34 68 40 / 026 34 60 09,hotel.tamgout@live.fr
Hotêl Les Hammadites,"Rn n°9.Bp 61.Tichy,Bejaia,Algérie",034 81 65 12 / 034 81 65 13 / 034 81 65 14 / 034 81 65 10 / 034 23 57 00,hotelhammadites@yahoo.fr
Hôtel Bougaroun,"Rue Rouibah Tahar.Collo,Skikda,Algérie,2...",038 90 51 05,contact@hotel-bougaroun.com
Hôtel Panoramic,"59, avenue Aouati Mustapha,Constantine,A...",031 92 93 03,egt-est@entreprise-dz.com
Hammam Guergour,"Bougaa,Setif,Algérie",036 40 60 14,contact@hammamguergour-egt.com
Hôtel El Boustene,"Rue Gasmi Brahim.El Ménéa,Ghardaia,Algér...",029 21 11 19,reservation@hotelelboustene-elmenea.com
Hôtel El Mehri,"Rue Chetti Elouakal,Ouargla,Algérie,3000...",029 70 20 68,hotelelmahri@yahoo.com
Hotêl Touat,Place des Martyrs,0798 35 34 01,contact@hoteltouat.dz
Hôtel Gourara,"Ouled Brahim. Timimoun,Adrar,Algérie",049 30 03 49 / 0049 30 03 50 / 049 30 03 52,hotelgourara@chaineeldjazair.com
Hotêl El Mekhter,"Ain Sefra.Bp 59,Naama,Algérie",049 76 14 17 / 049 55 17 71,mekhterhotel@gmail.com
Hôtel Antar,"Rue Mokrani Mohamed,Bechar,Algérie",049 21 07 75 / 049 21 04 43,egto2009@hotmail.fr
Hotêl Tahat,"Boulevard Emir Abdelkader. Bp 163,Tamanr...",029 31 23 55 / 029 31 21 21 / 029 31 31 24 24,contact@hotel-tahat.com
Hotêl Tidikelt,"Bp 42,Rn n°01.Ain Salah",0661 64 07 73,hoteltidikelt@yahoo.fr
Hammam Rabbi,Station Thermale Commune Rebahia. Hammam...,048 32 61 77,contact@egtt-dz.com
Hotêl Les Zianides,"Bâtiment Administratif de la Wilaya, Bou...",043 27 71 21 / 043 27 71 02,zianides@egtt-dz.com
Hotêl El Forsane,"Route de Bechar,Saida,Algérie",048 41 84 58 / 048 41 80 68,forsanereception@gmail.com
Hotêl La Tafna,"Route d'Oudja.Maghnia,Tlemcen,Algérie",043 49 07 65,tafna@egtt-dz.com
Egt Hammam Righa / Hotêl Zaccar /Sgp Ges...,Commune de Hammam Righa.44250,,sec.egt@gmail.com
Complexe Touristique Matares,"Complexe Touristique Matares,Tipaza,Algé...",024 37 80 41 / 024 37 79 28,egt.tipasa@yahoo.fr
Hôtel Marhaba,"05, boulevard des Martyrs,Laghouat,Algér...",029 10 87 54 / 029 10 86 22 / 029 12 93 58,hotel.marhaba@gmail.com
Hotêl Taghit,"Taghit Centre. Abadla .08230,Bechar,Algé...",049 25 30 07 / 049 25 33 58 / 049 25 30 06 / 049 25.30.35 / 049 25.31.06,lesaoura@chaineeldjazair.com
ENTMV / Entreprise Nationale de Transpor...,"5/6, rue L.Nehru(ex Beziers).Bp 467,Alge...",021 63 53 76 / 021 64 39 68,dgentmv@yahoo.fr
Hôtel El Djanoub,"En face lycée Fillali .Centre Ghardaia,G...",029 28 16 24 / 029 28 13 83 / 029 28 15 49 / 029 28 14 04,hoteleldjanoub47@yahoo.fr
Hammam Bouhnifia,"Hammam Bouhnifia,Mascara,Algérie",045 76 72 55,bouhanifia@egtt-dz.com
Hammam Bouhadjar,"Complexe .Hammam Bouhadjer,Ain Temouchen...",043.73.90.02 / 0 43.73.90.05,contact@egtt-dz.com
Hammam Boughrara,"Route de Maghnia.Commune de Boughrara,Tl...",043 53 91 77 / 043 53 94 76,boughrara@egtt-dz.com
Centre de Thalassothérapie Sidi Fredj,Centre de thalassotherapie .Sidi-Fredj....,021 39 23 03 / 021 39 23 95 / 0550 01 48 90,dg@thalasso-sf.com.dz
